Verb,mw export,before,after,before,after,lojbo,Verb,Basic selbrivla?,Semantic class,Semantic class,Semantic class,English Frame,pre,x1,1,x2,2,x3,3,x4,4,x5,post,explanation,place1,place2,place3,place4,place5,related words,x1 type,x2 type,x3 type,x4 type,x5 type,verb1,verb2,verb3,Shown arity less than official?,English 2002's official definition,official arity
limna,"
'''limna''' — ''x<sub>1</sub><sub>(entity)</sub>''  swims in  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo limna''' — swimmer. 
:'''i e'a nai do limna lo xamsi''' — ''Don't swim in the sea!''
:Related words: {djacu}, {fulta}, {klama}, {litru}",,,,,x1 fulta gi'e sezu'e muvdu vau x2,limna,yes,,,Actions. Movement,,,x<sub>1</sub>,swims in ,x<sub>2</sub>,,,,,,,,,swimmer,,,,,"{djacu}, {fulta}, {klama}, {litru}",entity,entity,,,,swim [to],,,,"x1 (agent) swims in fluid x2 ||| (cf. djacu, fulta, klama, litru)",2
lindi,"
'''lindi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a lightning striking at  ''x<sub>2</sub><sub>(entity)</sub>''  from  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo lindi''' — lightning. 
:'''i sa'u tu pe pu ku cu lindi lo darno pa dilnu''' — ''That was just a lightning that stroke far away from here striking from a cloud.''
:Related words: {letri}",,,,,x1 dikca bargu gi'e kuspe x2 se bi'o x3,lindi,yes,Geography. Weather,,,,,x<sub>1</sub>,is a lightning striking at ,x<sub>2</sub>,from ,x<sub>3</sub>,,,,,,,lightning,,,,,{letri},entity,entity,entity,,,,,,,x1 is lightning/electrical arc/thunderbolt striking at/extending to x2 from x3 ||| [also thunder (= lidysna)]; (cf. dikca),3
linji,"
'''linji''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a line segment defined by points  ''x<sub>2</sub><sub>(entity group)</sub>'' 
:'''lo linji''' — line. '''lo se linji''' — points defining a line. 
:'''i loi pulji pu se linji lo clani te zu'e lo ka kurji lo cadzu prenu''' — ''The police officers formed long lines in order to protect walking people.''
:Related words: {korcu}, {sirji}, {jganu}, {kantu}, {mokca}",-x1 is a line/among lines [1-dimensional shape/form] defined by set of points x2.,_+x1 is a line/among lines [1-dimensional shape/form] defined by points x2.,,,x1 se cimde pa da gi'e se cmima x2 noi mokca,linji,yes,,General. Shapes,,,,x<sub>1</sub>,is a line segment defined by points ,x<sub>2</sub>,,,,,,,,,line,points defining a line,,,,"{korcu}, {sirji}, {jganu}, {kantu}, {mokca}",entity,entity group,,,,,,,,"x1 is a line/among lines [1-dimensional shape/form] defined by set of points x2 ||| [ray/vector (farli'i or porli'i)]; (cf. kruvi, sirji, jganu, kantu, mokca)",2
linto,"
'''linto''' — ''x<sub>1</sub><sub>(entity)</sub>''  is lightweight ...
:'''lo linto''' — lightweight, light (not heavy). 
:'''i le mlatu verba cu linto''' — ''The kitten is lightweight.''
:Comment: {lo} {xalbo} is @@@light (not serious)@@@, {lo} {gusni} is @@@light (illumination)@@@.
:Related words: {junta}, {tilju}",,,,,,linto,yes,Measures. Size & weight (subjective),,,,,x<sub>1</sub>,is lightweight,,,,,,,,,"{lo} {xalbo} is @@@light (not serious)@@@, {lo} {gusni} is @@@light (illumination)@@@.","lightweight, light (not heavy)",,,,,"{junta}, {tilju}",entity,,,,,,,, ...,"x1 is light in mass/weight by standard x2 ||| (cf. junta, tilju; se xalbo, kandi for metaphor)",2
lisri,"
'''lisri''' — ''x<sub>1</sub><sub>(text)</sub>''  is a story about  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo lisri''' — story, tale, yarn (story), narrative. '''lo se lisri''' — plot of a story. 
:'''i ko skicu pa lisri be lo crida mi''' — ''Tell me a story about fairies.''
:Related words: {ranmi}, {cfika}, {skicu}, {prosa}, {pemci}",,,,,x1 ve skicu x2 noi porsi lo fasnu ku'o fo x3 fi x4,lisri,yes,Socio. Literature & writing,,,LISRI,,x<sub>1</sub>,is a story about ,x<sub>2</sub>,,,,,,,,,"story, tale, yarn (story), narrative",plot of a story,,,,"{ranmi}, {cfika}, {skicu}, {prosa}, {pemci}",text,entity,,,,,,, ...,"x1 is a story/tale/yarn/narrative about plot/subject/moral x2 by storyteller x3 to audience x4 ||| [also legend; a narrative need not be fictional; x2 may be merely a convention rather than a subject; also x3 tells/recounts story/tale x1 about x2 to x4 (= selterlisri for place reordering); note that the storyteller need not be the author]; (cf. ranmi, cfika, skicu, prosa, pemci)",4
liste,"
'''liste''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a list, log of  ''x<sub>2</sub><sub>(entity group)</sub>''  ...
:'''lo liste''' — list, log. '''lo se liste''' — logged. 
:'''i mi pu tcidu lo liste be lo notci noi fi ke'a porsi lo ka se benji ca ma kau''' — ''I read a log of messages, which were sorted in the order of being sent.''
:Comment: unlike {porsi} the word {liste} describes an actual object with the sequence formed as is.
:Related words: {porsi}, {girzu}, {cmima}",,,,,x1 vreji lo porsi be x2 bei x3 x4,liste,yes,General. Groups & parts,,,,,x<sub>1</sub>,"is a list, log of ",x<sub>2</sub>,,,,,,,,unlike {porsi} the word {liste} describes an actual object with the sequence formed as is.,"list, log",logged,,,,"{porsi}, {girzu}, {cmima}",entity,entity group,,,,,,, ...,"x1 (physical object) is a list/catalog/register of sequence/set x2 in order x3 in medium x4 ||| [also roll, log]; (x2 is completely specified); (cf. porsi, girzu, cmima for mental objects wherein order is of varying importance; some manifested order is intrinsic to a physical list, but the specific order may be incidental and not intentional/purposeful)",4
litce,"
'''litce''' — ''x<sub>1</sub><sub>(entity)</sub>''  is  ''x<sub>2</sub><sub>(number)</sub>''  liters ...
:'''i ti noi djacu cu litce li re''' — ''It's two liters of water.''
:Related words: {centi}",,,,,,litce,yes,Measures. Metric,,,,,x<sub>1</sub>,is ,x<sub>2</sub>,liters,,,,,,,,,,,,,{centi},entity,number,,,,,,, ...,"x1 is x2 liter(s) [metric unit] in volume (default is 1) by standard x3 ||| (cf. merli, grake, mitre, dekpu, centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)",3
litki,"
'''litki''' — ''x<sub>1</sub><sub>(entity)</sub>''  is liquid ...
:'''lo litki''' — liquid. 
:'''i ko satre le litki pa panje''' — ''Wipe the liquid with a sponge.''
:'''i le bisli ca'o co'a litki''' — ''The ice is melting.''
:Related words: {cilmo}, {djacu}, {lumci}, {runta}, {pambe}, {sudga}, {gapci}, {sligu}, {flu'ente}, {jduli}",,,,,x1 marji x2 noi lo selci be ke'a cu zifre lo ka ce'u muvdu fo lo jbini be ce'u kei gi'e ku'i na sepsimyze'a .i x1 na'e sligu je na'e gapci x2,litki,yes,,Universe. Materials & substances,,,,x<sub>1</sub>,is liquid,,,,,,,,,,liquid,,,,,"{cilmo}, {djacu}, {lumci}, {runta}, {pambe}, {sudga}, {gapci}, {sligu}, {flu'ente}, {jduli}",entity,,,,,,,, ...,"x1 is liquid/fluid, of composition/material including x2, under conditions x3 ||| [conditions include temperature and pressure]; (cf. cilmo, djacu, lumci, runta, pambe, sudga, gapci, sligu, flecu, jduli)",3
litru,"
'''litru''' — ''x<sub>1</sub><sub>(entity)</sub>''  travels via route  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo litru''' — traveller. '''lo se litru''' — travelling route. 
:'''i mi pu litru lo fange gugde''' — ''I travelled abroad.''
:Related words: {bajra}, {cadzu}, {cpare}, {tcana}, {klama}, {cliva}, {pluta}, {limna}, {muvdu}",,,"_-(x2 as a set includes points at least sufficient to constrain the route relevantly); See also {bajra}, {cadzu}, {cpare}, {tcana}, {klama}, {cliva}, {pluta}, {limna}, {muvdu}.","_+See also {bajra}, {cadzu}, {cpare}, {tcana}, {klama}, {cliva}, {pluta}, {limna}, {muvdu}.",x1 pilno fe'e ca'o x2 boi x3 lo nu x1 cenba lo ka ce'u zvati makau i x1 klama zi'o zi'o x2 boi x3,litru,yes,,,Actions. Movement,,,x<sub>1</sub>,travels via route ,x<sub>2</sub>,,,,,,,,,traveller,travelling route,,,,"{bajra}, {cadzu}, {cpare}, {tcana}, {klama}, {cliva}, {pluta}, {limna}, {muvdu}",entity,entity,,,,travel [to],,, ...,"x1 travels/journeys/goes/moves via route x2 using means/vehicle x3; x1 is a traveller ||| (x2 as a set includes points at least sufficient to constrain the route relevantly); (cf. bajra, cadzu, cpare, tcana, klama, cliva, pluta, limna, muvdu)",3
livga,"
'''livga''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a liver of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo livga''' — liver. 
:'''i xu lo ka citka lo livga be lo jipci cu xamgu do''' — ''Is eating chicken liver good for you?''
:Related words: {rango}, {betfu}",,,,,,livga,yes,Living. Internal organs,,,,,x<sub>1</sub>,is a liver of ,x<sub>2</sub>,,,,,,,,,liver,,,,,"{rango}, {betfu}",entity,entity,,,,,,,,"x1 is a/the liver [body-part] of x2 ||| (cf. rango, betfu)",2
livla,"
'''livla''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a fuel for powering  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo livla''' — fuel. 
:'''i le toknu cu se livla lo mudri''' — ''The furnace is stoked up with wood.''
:'''i lo livla na banzu''' — ''There isn't enough fuel.''
:Related words: {nejni}, {xaksu}, {jelca}",,,,,x1 sabji lo nejni x2,livla,yes,,Universe. Materials & substances,,,,x<sub>1</sub>,is a fuel for powering ,x<sub>2</sub>,,,,,,,,,fuel,,,,,"{nejni}, {xaksu}, {jelca}",entity,entity,,,,,,,,"x1 is a fuel/energy-source for powering x2 ||| (cf. nejni, xaksu, jelca)",2
logji,"
'''logji''' — ''x<sub>1</sub><sub>(proposition)</sub>''  is a logic for reasoning about  ''x<sub>2</sub><sub>(proposition)</sub>'' 
:'''lo logji''' — logic. 
:'''i le du'u lo prina be fi lo jamfu be pa nixli cu nenri le dinju cu logji le du'u la alis pu zvati ti''' — ''By the fact that there are footprints of a girl inside the house, one concludes that Alice was here.''
:Related words: {nibli}",,,"_-Also (adjective:) x1, x2 are logical. See also {nibli}.",_+See also {nibli}.,x1 javni lo du'u ma kau tadji lo nu pensi x2,logji,yes,Psycho. Logic,,,,,x<sub>1</sub>,is a logic for reasoning about ,x<sub>2</sub>,,,,,,,,,logic,,,,,{nibli},proposition,proposition,,,,,,,,"x1 [rules/methods] is a logic for deducing/concluding/inferring/reasoning to/about x2 (du'u) ||| [also (adjective:) x1, x2 are logical]; (cf. nibli)",2
,,,,,,,loglo,,Socio. Culture. Examples,,,,,x<sub>1</sub>,pertains to Loglan language in ,x<sub>2</sub>,,,,,,,,,Loglandic,,,,,{lojbo},entity,property of x1,,,,,,,,,
lojbo,"
'''lojbo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is Lojbanic in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo lojbo''' — Lojbanic. 
:'''i mi lojbo lo ka se cinri la lojban vau e no drata i je mi na tavla bau la lojban''' — ''I'm a Lojbanic person only in that I'm interested in Lojban; I don't speak it.''
:Related words: {bangu}, {logji}",,,,,x1 ckini lo kulnu ja bangu ja cecmu pe la .lojban. x2,lojbo,yes,Socio. Culture. Examples,,,,,x<sub>1</sub>,is Lojbanic in ,x<sub>2</sub>,,,,,,,,,Lojbanic,,,,,"{bangu}, {logji}",entity,property of x1,,,,,,,,"x1 reflects [Loglandic]/Lojbanic language/culture/nationality/community in aspect x2 ||| [pre-Lojban forms of Loglan (= dzejbo)] (cf. bangu, logji)",2
loldi,"
'''loldi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a floor, ground of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo loldi''' — floor. 
:'''i mi pu sipna bu'u lo loldi be lo kumfa pe mi''' — ''I slept on the floor of my room.''
:Related words: {bitmu}, {drudi}, {dertu}, {dizlo}, {cnita}, {zbepi}, {sarji}, {skalera}",,,,,x1 cnita je plita pagbu x2 gi'e ka'e sarji ja se cpana .i x1 to'e drudi x2,loldi,yes,Socio. Buildings. Architecture,,,,,x<sub>1</sub>,"is a floor, ground of ",x<sub>2</sub>,,,,,,,,,floor,,,,,"{bitmu}, {drudi}, {dertu}, {dizlo}, {cnita}, {zbepi}, {sarji}, {skalera}",entity,entity,,,,,,,,"x1 is a floor/bottom/ground of x2 ||| [floor/level/story of a building/edifice (= setloi, dijysenta)]; (cf. bitmu, drudi, dertu, dizlo, cnita, zbepi, sarji, serti)",2
lorxu,"
'''lorxu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a fox of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo lorxu''' — fox. 
:'''i lo lorxu cu citka lo jipci''' — ''Foxes eat hens.''
:Related words: {gerku}",,,,,x1 re'ucti mabru x2 noi jutsi la'o jutsi. Vulpes .jutsi ,lorxu,yes,Living. Mammals,,,,,x<sub>1</sub>,is a fox of species ,x<sub>2</sub>,,,,,,,,,fox,,,,,{gerku},entity,taxon,,,,,,,,x1 is a fox [bushy-tailed wild dog/canine] of species/breed x2 ||| (cf. gerku),2
,,,,,,,lubno,,Socio. Culture. Examples,,,,,x<sub>1</sub>,is Lebanese in ,x<sub>2</sub>,,,,,,,,,something Lebanese,,,,,{xrabo},entity,property of x1,,,,,,,,,
lujvo,"
'''lujvo''' — ''x<sub>1</sub><sub>(text)</sub>''  is a lujvo, verb made of affixes with meaning  ''x<sub>2</sub><sub>(entity)</sub>''  , arguments meaning  ''x<sub>3</sub><sub>(ordered entity group)</sub>''  , with affixes built from components  ''x<sub>4</sub><sub>(ordered text group)</sub>'' 
:'''lo lujvo''' — lujvo (compound verb made of affixes). 
:'''i zo ki'ogra lujvo le du'u kilto lo grake vau lo kilto ce'o lo se grake zo kilto ce'o zo grake''' — ''{ki'ogra} is a lujvo meaning &quot;is a thousand of grams&quot; with arguments meaning &quot;what is measured in thousands&quot;, &quot;the number of grams&quot;; affixes of the lujvo are built from {kilto} and {grake} attached sequentially.''
:Related words: {stura}, {cmavo}, {gismu}, {rafsi}, {smuni}",,,,,x1 selbri za'upamei valsi x2 gi'e se sumti x3 gi'e se zbasu fi x4 poi tanru,lujvo,yes,Socio. Culture. Language grammar,Grammar word,,,,x<sub>1</sub>,"is a lujvo, verb made of affixes with meaning ",x<sub>2</sub>,", arguments meaning ",x<sub>3</sub>,", with affixes built from components ",x<sub>4</sub>,,,,,lujvo (compound verb made of affixes),,,,,"{stura}, {cmavo}, {gismu}, {rafsi}, {smuni}",text,entity,ordered entity group,ordered text group,,,,,,"x1 (text) is a compound predicate word with meaning x2 and arguments x3 built from metaphor x4 ||| (cf. stura, cmavo, gismu, rafsi, smuni)",4
lumci,"
'''lumci''' — ''x<sub>1</sub><sub>(entity)</sub>''  washes  ''x<sub>2</sub><sub>(entity)</sub>''  of contaminant  ''x<sub>3</sub><sub>(entity)</sub>''  ...
:'''lo lumci''' — washer. 
:'''i mi pu lumci so'o palta lo stali''' — ''I washed off the remains from some dishes.''
:Related words: {djacu}, {jinru}, {litki}, {zbabu}, {jinsa}, {curve}",,,,,x1 gasnu lo nu x2 jinsa x3,lumci,yes,,,Actions. Physical matter,,,x<sub>1</sub>,washes ,x<sub>2</sub>,of contaminant ,x<sub>3</sub>,,,,,,,washer,,,,,"{djacu}, {jinru}, {litki}, {zbabu}, {jinsa}, {curve}",entity,entity,entity,,,"wash [to], clean [to], wipe [to]",,, ...,"x1 (agent) washes/cleanses x2 of soil/contaminant x3 in/with cleaning material(s) x4 ||| [agentless washing/cleansing (= cuvbi'o, jisybi'o)]; (cf. djacu, jinru, litki, zbabu, jinsa, curve)",4
lunbe,"
'''lunbe''' — ''x<sub>1</sub><sub>(entity)</sub>''  is naked or bare
:'''lo lunbe''' — naked, bare. 
:'''i le cifnu ca lunbe''' — ''The baby is naked now.''
:Related words: {taxfu}, {bandu}",,,,,x1 dasni no da .i x1 se gacri no da,lunbe,yes,Socio. Clothes,General. Shapes,,,,x<sub>1</sub>,is naked or bare,,,,,,,,,,"naked, bare",,,,,"{taxfu}, {bandu}",entity,,,,,,,,,"x1 is bare/naked/nude; x1 is without cover/clothes/[protection] ||| (cf. taxfu, bandu)",
lunra,"
'''lunra''' — ''x<sub>1</sub><sub>(entity)</sub>''  is the Moon, major natural satellite of planet  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo lunra''' — Moon (major natural satellite). '''lo se lunra''' — planet with a moon. 
:'''i le terdi cu se lunra pa da''' — ''The Earth has one natural moon.''
:Related words: {planeta}, {solri}, {terdi}, {mluni}",,,,,x1 mluni x2 noi plini gi'e na'o terdi,lunra,yes,Universe. Astronomy,,,,,x<sub>1</sub>,"is the Moon, major natural satellite of planet ",x<sub>2</sub>,,,,,,,,,Moon (major natural satellite),planet with a moon,,,,"{planeta}, {solri}, {terdi}, {mluni}",entity,entity,,,,,,,,"x1 is Earth's moon (default); x1 is a major natural satellite/moon of planet x2 ||| (cf. plini, solri, terdi, mluni)",2
lunsa,"
'''lunsa''' — ''x<sub>1</sub><sub>(entity)</sub>''  condenses ...
:'''lo lunsa''' — condensing. 
:'''i lo bisli lunsa pu gacri le dertu''' — ''Frost covered the ground.''
:Related words: {cilmo}, {dunja}, {febvi}, {litki}, {bumru}",,,,,x1 noi gapci cu binxo lo litki,lunsa,yes,Actions. Physical transformations,,,,,x<sub>1</sub>,condenses,,,,,,,,,,condensing,,,,,"{cilmo}, {dunja}, {febvi}, {litki}, {bumru}",entity,,,,,condense [to],,, ...,"x1 condenses/liquefies on/into x2 at temperature x3, pressure x4; x1 is dew/condensate on x2 ||| (cf. cilmo, dunja, febvi, runme, bumru)",4
luska,"
'''luska''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a mollusk of species  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo luska''' — mollusc. 
:'''i ti noi luska cu cpare co masno''' — ''This mollusk moves slowly.''
:Related words: {curnu}, {danlu}, {xamsi}, {rirxe}",,,,,,luska,yes,,,,,,x<sub>1</sub>,is a mollusk of species ,x<sub>2</sub>,,,,,,,,,mollusc,,,,,"{curnu}, {danlu}, {xamsi}, {rirxe}",entity,entity,,,,,,,,,
mabla,"
'''mabla''' — ''x<sub>1</sub><sub>(entity)</sub>''  is shitty, awful in  ''x<sub>2</sub><sub>(property of x1)</sub>''  according to  ''x<sub>3</sub><sub>(entity)</sub>'' ; x<sub>1</sub> stinks, sucks
:'''lo mabla''' — shitty, awful, execrable. 
:'''i fi mi le cidja cu mabla lo ka se zalvi lo denci''' — ''For me the food is awful in chewing it.''
:Related words: {palci}, {dapma}, {xlali}, {zabna}, {funca}, {ganti}, {ganxo}, {gletu}, {gutra}, {kalci}, {pinca}, {nakpinji}, {plibu}, {vibna}, {vlagi}, {zargu}",,,,,x1 xlali ja rigni ja fegli ja to'e pluka ja na'e mansa fi x2 fe x3 .i x1 to'e zabna x2 x3,mabla,yes,,Psycho. Attitude,,ZABNA,,x<sub>1</sub>,"is shitty, awful in ",x<sub>2</sub>,according to ,x<sub>3</sub>,,,,,"x<sub>1</sub> stinks, sucks",,"shitty, awful, execrable",,,,,"{palci}, {dapma}, {xlali}, {zabna}, {funca}, {ganti}, {ganxo}, {gletu}, {gutra}, {kalci}, {pinca}, {nakpinji}, {plibu}, {vibna}, {vlagi}, {zargu}",entity,property of x1,entity,,,"stink (be bad) [to], suck (be bad) [to]",,,,"x1 is a derogative connotation/sense of x2 used by x3; x3 derogates/'curses at' x2 in form x1 ||| [bloody (British sense), fucking, shit, goddamn]; (cf. palci, dapma, xlali, zabna, funca, ganti, ganxo, gletu, gutra, kalci, pinca, pinji, plibu, vibna, vlagi, zargu)",3
mabru,"
'''mabru''' — ''x<sub>1</sub><sub>(entity)</sub>''  is mammal of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo mabru''' — mammal. 
:'''i lo delfinu cu mabru''' — ''Dolphins are mammals.''
:Related words: {danlu}, {ladru}, {tatru}, {ractu}, {xanto}, {xarju}",,,,,x1 bogda'u x2 .i lo xadni be x1 cu na'o se gacri lo kerfa .i x1 ctigau lo cifnu lo ladru noi se cigla lo tatru,mabru,yes,Living. Mammals,,,,,x<sub>1</sub>,is mammal of species ,x<sub>2</sub>,,,,,,,,,mammal,,,,,"{danlu}, {ladru}, {tatru}, {ractu}, {xanto}, {xarju}",entity,taxon,,,,,,,,"x1 is a mammal/'animal'/beast of species x2 ||| (cf. danlu, ladru, tatru, ractu, xanto, xarju)",2
macnu,"
'''macnu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is manual in function  ''x<sub>2</sub><sub>(property of x1)</sub>''  ...
:'''lo macnu''' — manual. '''lo se macnu''' — function done manually. 
:'''i ti noi karce cu macnu lo ka gau cenba lo ka sutra''' — ''The speed of this car is changed manually.''
:Related words: {zmiku}, {jitro}",,,,,,macnu,yes,Socio. Actions. Physical matter,,,ZMIKU,,x<sub>1</sub>,is manual in function ,x<sub>2</sub>,,,,,,,,,manual,function done manually,,,,"{zmiku}, {jitro}",entity,property of x1,,,,,,, ...,"x1 (event/action/process) is manual [not automatic] in function x2 under conditions x3 ||| (cf. zmiku, jitro)",3
magneti,"
'''magneti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is magnetic in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo magneti''' — magnet. 
:'''i le rokci cu magneti lo ka snipa lo jinme''' — ''The stone is magnetic in that it sticks to metal.''
:'''i le rokci co'u magneti lo ka co'a glare''' — ''The stone becomes non-magnetic when being heat up.''
:Related words: {letri}, {trina}, {xlura}",,,,,,magneti,yes,,Universe. General,,,,x<sub>1</sub>,is magnetic in ,x<sub>2</sub>,,,,,,,,,magnet,,,,,"{letri}, {trina}, {xlura}",entity,property of x1,,,,,,,,,
makcu,"
'''makcu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is mature in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo makcu''' — mature. 
:'''i le nanmu cu simlu lo ka makcu lo ka seksi''' — ''The man seems to be mature in his sexuality.''
:Related words: {cifnu}, {ninmu}, {verba}, {banro}, {farvi}, {nanmu}",,,,,,makcu,yes,General. Growth,Development & age,,,,x<sub>1</sub>,is mature in ,x<sub>2</sub>,,,,,,,,,mature,,,,,"{cifnu}, {ninmu}, {verba}, {banro}, {farvi}, {nanmu}",entity,property of x1,,,,,,,,"x1 is mature/ripe/fully-grown/adult in development-quality x2 (ka) ||| (cf. cifnu, ninmu, verba, banro, farvi, nanmu)",2
makfa,"
'''makfa''' — ''x<sub>1</sub><sub>(clause)</sub>''  is magic or supernatural to  ''x<sub>2</sub><sub>(entity)</sub>''  performed by  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo makfa''' — magical event. '''lo te makfa''' — wizard, magician. 
:'''i lo nu le ractu cu canci cu makfa le verba la djon''' — ''The disappearance of the rabbit performed by John was magical for the child. ''
:Related words: {krici}, {marvele}",,,,,x1 zdile ja spaji ja se manci tcica x2 gau x3 .i x1 noi na'e rarna cu se ganse ja se lifri x2 gau x3,makfa,yes,Socio. Culture. Religion,,,,,x<sub>1</sub>,is magic or supernatural to ,x<sub>2</sub>,performed by ,x<sub>3</sub>,,,,,,,magical event,,"wizard, magician",,,"{krici}, {marvele}",clause,entity,entity,,,,,,,"x1 is magic/supernatural/sorcery/witchcraft/wizardry to x2, performed by person/force/deity x3 ||| (cf. krici, manci)",3
,,,,,,,maksi,,,Universe. General,,,,x<sub>1</sub>,is a magnet producing field ,x<sub>2</sub>,,,,,,,,,magnet,a magnetic field,,,,"{letri}, {trina}, {xlura}",entity,entity,,,,,,,,,
malsi,"
'''malsi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a church, temple of people  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo malsi''' — church, temple. 
:'''i ti malsi lo budjo''' — ''This is a Buddhist temple.''
:Related words: {cevni}, {krici}, {lijda}, {ritli}",,,,,,malsi,yes,Socio. Culture. Religion,,,,,x<sub>1</sub>,"is a church, temple of people ",x<sub>2</sub>,,,,,,,,,"church, temple",,,,,"{cevni}, {krici}, {lijda}, {ritli}",entity,entity,,,,,,, ...,"x1 is a temple/church/sanctuary/synagogue/shrine of religion x2 at location/serving area x3 ||| [x2 may be event of form (... worships/pays/respect to ...), hence (metaphorically extending to) monument (= mojmalsi, si'armalsi)]; (cf. cevni, krici, lijda, ritli)",3
mamta,"
'''mamta''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a mother of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo mamta''' — mother. '''lo se mamta''' — child of a mother. 
:'''i lo mamta be do pu zukte ma ca lo nu do mo'u klama lo zdani''' — ''What was your mother doing when you got home?''
:Related words: {patfu}, {sovda}, {rirni}, {rorci}, {tarbi}, {famti}, {bersa}, {jbena}",,,,,x1 fetsi gi'e rirni x2,mamta,yes,Living. Family,,Links,,,x<sub>1</sub>,is a mother of ,x<sub>2</sub>,,,,,,,,,mother,child of a mother,,,,"{patfu}, {sovda}, {rirni}, {rorci}, {tarbi}, {famti}, {bersa}, {jbena}",entity,entity,,,,,,,,"x1 is a mother of x2; x1 bears/mothers/acts maternally toward x2; [not necessarily biological] ||| (cf. patfu, sovda, rirni, rorci, tarbi, famti, bersa, jbena)",2
,,,,,,,manci,needed?,,Psycho. Emotion,,,,x<sub>1</sub>,feels awe or wonder about ,x<sub>2</sub>,,,,,,,,,feeler of awe,something awe-inspiring,,,,"{cinmo}, {makfa}, {kucli}, {spaji}, {cinri}, {banli}, {sisku}",entity,clause,,,,wonder about [to],,,,,
manfo,"
'''manfo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is uniform, homogeneous in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo manfo''' — uniform, homogeneous. 
:'''i le bukpu ca manfo lo ka se tengu''' — ''The cloth is uniform in texture.''
:Related words: {vrici}, {prane}, {curve}, {ranji}, {vitno}, {stodi}, {dikni}, {sampu}, {traji}",,,,,x1 ckaji x2 ije ro pagbu be x1 cu dunli x1 boi x2 i x1 to'e vrici x2,manfo,yes,General. Properties,,,,,x<sub>1</sub>,"is uniform, homogeneous in ",x<sub>2</sub>,,,,,,,,,"uniform, homogeneous",,,,,"{vrici}, {prane}, {curve}, {ranji}, {vitno}, {stodi}, {dikni}, {sampu}, {traji}",entity,property of x1,,,,,,,,"x1 (object/event) is uniform/homogeneous in property x2 (ka) ||| (cf. prane, curve, ranji, vitno, stodi, dikni, sampu, traji)",2
mango,"
'''mango''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a mango of variety  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo mango''' — mango. 
:'''i mi pu no roi citka lo mango''' — ''I have never eaten mangoes.''
:Related words: {grute}",,,,,,mango,yes,Living. Plants (non-edible by default),,,,,x<sub>1</sub>,is a mango of variety ,x<sub>2</sub>,,,,,,,,,mango,,,,,{grute},entity,taxon,,,,,,,,,
manku,"
'''manku''' — ''x<sub>1</sub><sub>(entity)</sub>''  is dark
:'''lo manku''' — dark. 
:'''i le kumfa cu manku''' — ''The room is dark.''
:Related words: {blabi}, {gusni}, {ctino}, {kandi}, {xekri}, {ctino}",,,,,x1 toltce ja claxu lo ka se gusni ,manku,yes,Measures. Light & daytime,Psycho. Colors,,,,x<sub>1</sub>,is dark,,,,,,,,,,dark,,,,,"{blabi}, {gusni}, {ctino}, {kandi}, {xekri}, {ctino}",entity,,,,,,,,,"x1 is dark/lacking in illumination ||| (cf. blabi, gusni, ctino; use kandi or xekri with colors, ctino)",
