particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,definition,particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,,,,
ja'a,"
'''ja'a''' <small>[preposition of truth/falsehood]</small> — @@@It is true that ...@@@
:'''i mi ja'a jimpe''' — ''I do understand.''",ja'a,preposition of truth/falsehood,@@@It is true that ...@@@,,preposition,,,,,NA,yes,preposition,,true_,,,bridi logical affirmer, scope is an entire bridi,ja'a,"
'''ja'a''' <small>[preposition of truth/falsehood]</small> — @@@It is true that ...@@@
:'''i mi ja'a jimpe''' — ''I do understand.''",ja'a,preposition of truth/falsehood,@@@It is true that ...@@@,,preposition,,,,,NA,yes,preposition,,true_,,,,,
ja'a ,"
'''ja'a ''' <small>[2nd meaning]</small> — left affirmer in conjunctions
:'''i la alis pu ku sinma ja'a gi'e nai sidju vau mi''' — ''Alice did respect me but didn't help me.''",ja'a ,2nd meaning,left affirmer in conjunctions,,preposition,,,,,NA,yes,preposition,,,,,bridi logical affirmer, scope is an entire bridi,ja'a ,"
'''ja'a ''' <small>[2nd meaning]</small> — left affirmer in conjunctions
:'''i la alis pu ku sinma ja'a gi'e nai sidju vau mi''' — ''Alice did respect me but didn't help me.''",ja'a ,2nd meaning,left affirmer in conjunctions,,preposition,,,,,NA,yes,preposition,,,,,,,
na,"
'''na''' <small>[preposition of truth/falsehood]</small> — @@@It is not true that ...@@@
:'''i na ku lo speni be mi cu citno''' — ''It's not true that my wife is young.''",na,preposition of truth/falsehood,@@@It is not true that ...@@@,,preposition,,,,,NA,yes,preposition,,"false_, wrong",,,bridi contradictory negator, scope is an entire bridi, logically negates in some cmavo compounds,na,"
'''na''' <small>[preposition of truth/falsehood]</small> — @@@It is not true that ...@@@
:'''i na ku le speni be mi cu citno''' — ''It's not true that my wife is young.''",na,preposition of truth/falsehood,@@@It is not true that ...@@@,,preposition,,,,,NA,yes,preposition,,"false_, wrong",,,,
na ,"
'''na ''' <small>[2nd meaning]</small> — left negator in conjunctions
:'''i la kevin pu ku prami na je cinba mi''' — ''Kevin didn't love but kissed me.''",na ,2nd meaning,left negator in conjunctions,,preposition,,,,,NA,yes,preposition,,,,,bridi contradictory negator, scope is an entire bridi, logically negates in some cmavo compounds,na ,"
'''na ''' <small>[2nd meaning]</small> — left negator in conjunctions
:'''i la kevin pu ku prami na je cinba mi''' — ''Kevin didn't love but kissed me.''",na ,2nd meaning,left negator in conjunctions,,preposition,,,,,NA,yes,preposition,,,,,,
je'a,"
'''je'a''' <small>[left scalar particle]</small> — @@@indeed ...@@@ (affirms the position on the scale)
:'''i do je'a stati doi loi prenu''' — ''You are really smart, people.''
:'''i lei grute cu se tasta lo je'a rigni''' — ''The fruits are indeed disgusting in taste.''",je'a,left scalar particle,@@@indeed ...@@@ (affirms the position on the scale),,,,,,,NAhE,yes,,,indeed,,,scalar affirmer, denies scalar negation: Indeed!,je'a,"
'''je'a''' <small>[left scalar particle]</small> — @@@indeed ...@@@ (affirms the position on the scale)
:'''i do je'a stati doi lei prenu''' — ''You are really smart, people.''
:'''i lei mi'u grute cu se tasta le je'a rigni''' — ''The fruits are indeed disgusting in taste.''",je'a,left scalar particle,@@@indeed ...@@@ (affirms the position on the scale),,,,,,,NAhE,yes,,,indeed,,,,,
je'ai,"
'''je'ai''' <small>[left scalar particle]</small> — asks which particle fits the place where {je'ai} is put: {je'a}, {na'e}, {no'e} or {to'e}
:'''i lu do je'ai nelci lo gerku li'u lu to'e li'u''' — ''&quot;You like/dislike dogs?&quot; &quot;I hate them.&quot;''",je'ai,left scalar particle,"asks which particle fits the place where {je'ai} is put: {je'a}, {na'e}, {no'e} or {to'e}",,,,,,,NAhE,yes,,question,,,,NAhE question,je'ai,"
'''je'ai''' <small>[experimental left scalar particle]</small> — asks which particle fits the place where {je'ai} is put: {je'a}, {na'e}, {no'e} or {to'e}
:'''i lu do je'ai nelci le gerku li'u lu to'e li'u''' — ''&quot;You like/dislike dogs?&quot; &quot;I hate them.&quot;''",je'ai,left scalar particle,"asks which particle fits the place where {je'ai} is put: {je'a}, {na'e}, {no'e} or {to'e}",,,,,,,NAhE,exp,,question,,,,,,,
na'e,"
'''na'e''' <small>[left scalar particle]</small> — @@@not ...@@@, @@@other than ...@@@ (on the scale). Modifies the construct to the right
:'''i na'e vajni mi''' — ''It's not important to me.''
:'''i do ba na'e snada''' — ''You won't make it (won't succeed).''
:'''i na'e bo mi pu zukte''' — ''Not I did it.''",na'e,left scalar particle,"@@@not ...@@@, @@@other than ...@@@ (on the scale). Modifies the construct to the right",,,,,,,NAhE,yes,,,"not ..., other than ...",,,contrary scalar negator: other than ..., not ..., a scale or set is implied,na'e,"
'''na'e''' <small>[left scalar particle]</small> — @@@not ...@@@, @@@other than ...@@@ (on the scale). Modifies the construct to the right
:'''i na'e vajni mi''' — ''It's not important to me.''
:'''i do ba na'e snada''' — ''You won't make it (won't succeed).''
:'''i na'e bo mi pu zukte''' — ''Not I did it.''",na'e,left scalar particle,"@@@not ...@@@, @@@other than ...@@@ (on the scale). Modifies the construct to the right",,,,,,,NAhE,yes,,,"not ..., other than ...",,,,
no'e,"
'''no'e''' <small>[left scalar particle]</small> — middle on the scale. Modifies the construct to the right
:'''i le creka cu no'e cmalu''' — ''The shirt is medium in size.''
:'''i mi no'e certu tu'a la lojban''' — ''I'm fine in Lojban, neither a newbie, nor an expert.''
:'''i lo vacri ca no'e glare''' — ''It's neither cold, nor hot now, it's in between.''",no'e,left scalar particle,middle on the scale. Modifies the construct to the right,,,,,,,NAhE,yes,,,,,,midpoint scalar negator: neutral point between je'a and to'e, not really,no'e,"
'''no'e''' <small>[left scalar particle]</small> — middle on the scale. Modifies the construct to the right
:'''i le mi'u creka cu no'e cmalu''' — ''The shirt is medium in size.''
:'''i mi no'e certu tu'a la lojban''' — ''I'm fine in Lojban, neither a newbie, nor an expert.''
:'''i le vacri ca no'e glare''' — ''It's neither cold, nor hot now, it's in between.''",no'e,left scalar particle,middle on the scale. Modifies the construct to the right,,,,,,,NAhE,yes,,,,,,,,
to'e,"
'''to'e''' <small>[left scalar particle]</small> — @@@anti-@@@ (opposite on the scale). Modifies the construct to the right
:'''i mi to'e ri'a nai snada''' — ''Despite that, I succeeded.''
:'''i to'e cafne fa lo nu carvi bu'u ti''' — ''It rains here seldom.''
:'''i mi to'e nelci lo perli''' — ''I hate pears.''",to'e,left scalar particle,@@@anti-@@@ (opposite on the scale). Modifies the construct to the right,,,,,,,NAhE,yes,,,anti-,,,polar opposite scalar negator,to'e,"
'''to'e''' <small>[left scalar particle]</small> — @@@anti-@@@ (opposite on the scale). Modifies the construct to the right
:'''i mi to'e ri'a nai snada''' — ''Despite that, I succeeded.''
:'''i to'e cafne fa le nu carvi bu'u ti''' — ''It rains here seldom.''
:'''i mi to'e nelci le perli''' — ''I hate pears.''",to'e,left scalar particle,@@@anti-@@@ (opposite on the scale). Modifies the construct to the right,,,,,,,NAhE,yes,,,anti-,,,,,,
ja'ai,"
'''ja'ai''' <small>[1st meaning: interjection]</small> — affirms attitude. Used as a modifier of interjection
:'''i ui ja'ai''' — ''Yay indeed!''
:Comment: affirmative/negation pairs are {ja'ai}/{nai}, {ja'a}/{na}, {je'a}/{na'e}, {jo'a}/{na'i}.",ja'ai,1st meaning: interjection,affirms attitude. Used as a modifier of interjection,"affirmative/negation pairs are {ja'ai}/{nai}, {ja'a}/{na}, {je'a}/{na'e}, {jo'a}/{na'i}",interjection,,,,,NAI,yes,interjection,,,,,affirm last word: attached to cmavo to affirm them, denies negation by nai whenever it is applicable,ja'ai,"
'''ja'ai''' <small>[experimental 1st meaning: interjection]</small> — affirms attitude. Used as a modifier of interjection
:'''i ui ja'ai''' — ''Yay indeed!''
:Comment: affirmative/negation pairs are {ja'ai}/{nai}, {ja'a}/{na}, {je'a}/{na'e}, {jo'a}/{na'i}.",ja'ai,1st meaning: interjection,affirms attitude. Used as a modifier of interjection,"affirmative/negation pairs are {ja'ai}/{nai}, {ja'a}/{na}, {je'a}/{na'e}, {jo'a}/{na'i}",interjection,,,,,NAI,exp,interjection,,,,,,,
ja'ai ,"
'''ja'ai ''' <small>[2nd meaning: right scalar particle]</small> — affirms prepositions, pronouns, clauses, verb words
:'''i mi pu citka se pi'o ja'ai lo forca''' — ''I ate indeed using a fork.''",ja'ai ,2nd meaning: right scalar particle,"affirms prepositions, pronouns, clauses, verb words",,right scalar particle,,,,,NAI,yes,interjection,,,,,,ja'ai ,"
'''ja'ai ''' <small>[experimental 2nd meaning: right scalar particle]</small> — affirms prepositions, pronouns, clauses, verb words
:'''i mi pu citka se pi'o ja'ai le forca''' — ''I ate indeed using a fork.''",ja'ai ,2nd meaning: right scalar particle,"affirms prepositions, pronouns, clauses, verb words",,right scalar particle,,,,,NAI,exp,interjection,,,,,,,,
ja'ai  ,"
'''ja'ai  ''' <small>[3rd meaning]</small> — placed after a connective affirms the part after that connective
:'''i mi djica na gi'e ja'ai bredi''' — ''I don't want but I'm ready.''",ja'ai  ,3rd meaning,placed after a connective affirms the part after that connective,,connective right negator,,,,,NAI,yes,interjection,,,,,,ja'ai  ,"
'''ja'ai  ''' <small>[experimental 3rd meaning]</small> — placed after a connective affirms the part after that connective
:'''i mi djica na gi'e ja'ai bredi''' — ''I don't want but I'm ready.''",ja'ai  ,3rd meaning,placed after a connective affirms the part after that connective,,connective right negator,,,,,NAI,exp,interjection,,,,,,,,
nai,"
'''nai''' <small>[1nd meaning: right scalar particle]</small> — shows opposite meaning of interjection or interjection modifier
:'''i ui i ui nai''' — ''Yay! Alas!''
:Comment: {ui} {nai} marks unhappiness, {zo'o} {nai} marks serious (non-humorous) remarks. Definitions of interjections and interjection modifiers contain meanings of them with {nai} too.",nai,1nd meaning: right scalar particle,shows opposite meaning of interjection or interjection modifier,"{ui} {nai} marks unhappiness, {zo'o} {nai} marks serious (non-humorous) remarks. Definitions of interjections and interjection modifiers contain meanings of them with {nai} too",interjection,,,,,NAI,yes,interjection,,,,,attached to cmavo to negate them, various negation-related meanings,nai,"
'''nai''' <small>[1nd meaning: right scalar particle]</small> — shows opposite meaning of interjection or interjection modifier
:'''i ui i ui nai''' — ''Yay! Alas!''
:Comment: {ui} {nai} marks unhappiness, {zo'o} {nai} marks serious (non-humorous) remarks. Definitions of interjections and interjection modifiers contain meanings of them with {nai} too.",nai,1nd meaning: right scalar particle,shows opposite meaning of interjection or interjection modifier,"{ui} {nai} marks unhappiness, {zo'o} {nai} marks serious (non-humorous) remarks. Definitions of interjections and interjection modifiers contain meanings of them with {nai} too",interjection,,,,,NAI,yes,interjection,,,,,,,
nai ,"
'''nai ''' <small>[2nd meaning: right scalar particle]</small> — @@@not@@@, negates prepositions, pronouns
:'''i si'u i si'u nai''' — ''With help. Without help.''",nai ,2nd meaning: right scalar particle,"@@@not@@@, negates prepositions, pronouns",,right scalar particle,,,,,NAI,yes,interjection,,not,,,attached to cmavo to negate them, various negation-related meanings,nai ,"
'''nai ''' <small>[2nd meaning: right scalar particle]</small> — @@@not@@@, negates prepositions, pronouns
:'''i si'u i si'u nai''' — ''With help. Without help.''",nai ,2nd meaning: right scalar particle,"@@@not@@@, negates prepositions, pronouns",,right scalar particle,,,,,NAI,yes,interjection,,not,,,,,
nai  ,"
'''nai  ''' <small>[3rd meaning]</small> — placed after a connective negates the part after that connective
:'''i mi zgipli lo pipno gi'e nai certu''' — ''I play the piano but I'm not an expert.''",nai  ,3rd meaning,placed after a connective negates the part after that connective,,connective right negator,,,,,NAI,yes,interjection,,,,,attached to cmavo to negate them, various negation-related meanings,nai  ,"
'''nai  ''' <small>[3rd meaning]</small> — placed after a connective negates the part after that connective
:'''i mi zgipli le pipno gi'e nai certu''' — ''I play the piano but I'm not an expert.''",nai  ,3rd meaning,placed after a connective negates the part after that connective,,connective right negator,,,,,NAI,yes,interjection,,,,,,,
cu'i,"
'''cu'i''' <small>[right scalar particle]</small> — shows middle meaning of interjection or interjection modifier
:'''i au cu'i le bruna mo'u tsuku''' — ''The brother arrived, meh.''
:Comment: {au} {cu'i} means indifference (middle attitude between desire and reluctance). Definitions of interjections and interjection modifiers contain meanings of them with {nai} too.",cu'i,right scalar particle,shows middle meaning of interjection or interjection modifier,{au} {cu'i} means indifference (middle attitude between desire and reluctance). Definitions of interjections and interjection modifiers contain meanings of them with {nai} too,right scalar particle,,,,,CAI,yes,interjection,,,,,interjection: neutral scalar attitude modifier,cu'i,"
'''cu'i''' <small>[right scalar particle]</small> — shows middle meaning of interjection or interjection modifier
:'''i au cu'i le mi'u bruna mo'u tsuku''' — ''The brother arrived, meh.''
:Comment: {au} {cu'i} means indifference (middle attitude between desire and reluctance). Definitions of interjections and interjection modifiers contain meanings of them with {nai} too.",cu'i,right scalar particle,shows middle meaning of interjection or interjection modifier,{au} {cu'i} means indifference (middle attitude between desire and reluctance). Definitions of interjections and interjection modifiers contain meanings of them with {nai} too,right scalar particle,,,,,CAI,yes,interjection,,,,,,,,
ru'e,"
'''ru'e''' <small>[right scalar particle]</small> — shows weak intensity of interjection or interjection modifier
:'''i mi na ru'e se slabu do''' — ''I hardly know you.''
:'''i ui ru'e do snada''' — ''Yay, you won.''
:Comment: {ui} {ru'e} marks slight happiness, {zo'o} {ru'e} marks slightly humorous remarks.",ru'e,right scalar particle,shows weak intensity of interjection or interjection modifier,"{ui} {ru'e} marks slight happiness, {zo'o} {ru'e} marks slightly humorous remarks",right scalar particle,,,,,CAI,yes,interjection,,,,,interjection: weak intensity attitude modifier,ru'e,"
'''ru'e''' <small>[right scalar particle]</small> — shows weak intensity of interjection or interjection modifier
:'''i mi na ru'e se slabu do''' — ''I hardly know you.''
:'''i ui ru'e do snada''' — ''Yay, you won.''
:Comment: {ui} {ru'e} marks slight happiness, {zo'o} {ru'e} marks slightly humorous remarks.",ru'e,right scalar particle,shows weak intensity of interjection or interjection modifier,"{ui} {ru'e} marks slight happiness, {zo'o} {ru'e} marks slightly humorous remarks",right scalar particle,,,,,CAI,yes,interjection,,,,,,,,
sai,"
'''sai''' <small>[right scalar particle]</small> — shows strong intensity of interjection or interjection modifier
:'''i ui sai do snada''' — ''Yay, you won!''
:Comment: {ui} {sai} marks strong happiness, {zo'o} {sai} marks very humorous remarks.",sai,right scalar particle,shows strong intensity of interjection or interjection modifier,"{ui} {sai} marks strong happiness, {zo'o} {sai} marks very humorous remarks",right scalar particle,,,,,CAI,yes,interjection,,,,,interjection: moderate intensity attitude modifier,sai,"
'''sai''' <small>[right scalar particle]</small> — shows strong intensity of interjection or interjection modifier
:'''i ui sai do snada''' — ''Yay, you won!''
:Comment: {ui} {sai} marks strong happiness, {zo'o} {sai} marks very humorous remarks.",sai,right scalar particle,shows strong intensity of interjection or interjection modifier,"{ui} {sai} marks strong happiness, {zo'o} {sai} marks very humorous remarks",right scalar particle,,,,,CAI,yes,interjection,,,,,,,,
dau'i,"
'''dau'i''' <small>[right scalar particle]</small> — shows equal intensity of interjection or interjection modifier
:'''i ju'o la alis ba tsuku''' — ''I'm sure Alice will arrive.''
:'''i ju'o dau'i ji'a la kevin ba vitke mi'a''' — ''And I'm equally sure that Kevin will visit us.''
:Comment: usually specifies an intensity of an interjection equal to the intensity of the same interjection earlier used.
:Related words: {dau'i}, {mau'i}, {me'ai}, {cu'i}, {sai}, {ru'e}",dau'i,right scalar particle,shows equal intensity of interjection or interjection modifier,usually specifies an intensity of an interjection equal to the intensity of the same interjection earlier used,right scalar particle,"{dau'i}, {mau'i}, {me'ai}, {cu'i}, {sai}, {ru'e}",,,,CAI2,yes,interjection,,,,,interjection: equal intensity interjection relativizer ,dau'i,"
'''dau'i''' <small>[experimental right scalar particle]</small> — shows equal intensity of interjection or interjection modifier
:'''i ju'o la alis ba tsuku''' — ''I'm sure Alice will arrive.''
:'''i ju'o dau'i ji'a la kevin ba vitke mi'a''' — ''And I'm equally sure that Kevin will visit us.''
:Comment: usually specifies an intensity of an interjection equal to the intensity of the same interjection earlier used.
:Related words: {dau'i}, {mau'i}, {me'ai}, {cu'i}, {sai}, {ru'e}",dau'i,right scalar particle,shows equal intensity of interjection or interjection modifier,usually specifies an intensity of an interjection equal to the intensity of the same interjection earlier used,right scalar particle,"{dau'i}, {mau'i}, {me'ai}, {cu'i}, {sai}, {ru'e}",,,,CAI2,exp,interjection,,,,,,,,
mau'i,"
'''mau'i''' <small>[right scalar particle]</small> — shows stronger intensity of interjection or interjection modifier
:'''i ua do ti zvati i ua mau'i ji'a la alis ti zvati''' — ''Wow, you are here. Wow, wow, Alice is here too!''
:Comment: usually specifies an intensity of an interjection stronger than the intensity of the same interjection earlier used.
:Related words: {dau'i}, {mau'i}, {me'ai}, {cu'i}, {sai}, {ru'e}",mau'i,right scalar particle,shows stronger intensity of interjection or interjection modifier,usually specifies an intensity of an interjection stronger than the intensity of the same interjection earlier used,right scalar particle,"{dau'i}, {mau'i}, {me'ai}, {cu'i}, {sai}, {ru'e}",,,,CAI2,yes,interjection,,,,,interjection: stronger intensity interjection relativizer ,mau'i,"
'''mau'i''' <small>[experimental right scalar particle]</small> — shows stronger intensity of interjection or interjection modifier
:'''i ua do ti zvati i ua mau'i ji'a la alis ti zvati''' — ''Wow, you are here. Wow, wow, Alice is here too!''
:Comment: usually specifies an intensity of an interjection stronger than the intensity of the same interjection earlier used.
:Related words: {dau'i}, {mau'i}, {me'ai}, {cu'i}, {sai}, {ru'e}",mau'i,right scalar particle,shows stronger intensity of interjection or interjection modifier,usually specifies an intensity of an interjection stronger than the intensity of the same interjection earlier used,right scalar particle,"{dau'i}, {mau'i}, {me'ai}, {cu'i}, {sai}, {ru'e}",,,,CAI2,exp,interjection,,,,,,,,
me'ai,"
'''me'ai''' <small>[right scalar particle]</small> — shows weaker intensity of interjection or interjection modifier
:'''i ua do tsuku doi la alis i ua me'ai ro drata ti zvati ji'a''' — ''Wow, you arrived, Alice! Oh well, the others are here too.''
:Comment: usually specifies an intensity of an interjection weaker than the intensity of the same interjection earlier used.
:Related words: {dau'i}, {mau'i}, {me'ai}, {cu'i}, {sai}, {ru'e}",me'ai,right scalar particle,shows weaker intensity of interjection or interjection modifier,usually specifies an intensity of an interjection weaker than the intensity of the same interjection earlier used,right scalar particle,"{dau'i}, {mau'i}, {me'ai}, {cu'i}, {sai}, {ru'e}",,,,CAI2,yes,interjection,,,,,interjection: weaker intensity interjection relativizer ,me'ai,"
'''me'ai''' <small>[experimental right scalar particle]</small> — shows weaker intensity of interjection or interjection modifier
:'''i ua do tsuku doi la alis i ua me'ai ro drata ti zvati ji'a''' — ''Wow, you arrived, Alice! Oh well, the others are here too.''
:Comment: usually specifies an intensity of an interjection weaker than the intensity of the same interjection earlier used.
:Related words: {dau'i}, {mau'i}, {me'ai}, {cu'i}, {sai}, {ru'e}",me'ai,right scalar particle,shows weaker intensity of interjection or interjection modifier,usually specifies an intensity of an interjection weaker than the intensity of the same interjection earlier used,right scalar particle,"{dau'i}, {mau'i}, {me'ai}, {cu'i}, {sai}, {ru'e}",,,,CAI2,exp,interjection,,,,,,,,
ni'o,"
'''ni'o''' <small>[paragraph break]</small> — starts a new topic
:'''i mi ze'u na tavla do ni'o ei mi ca cliva''' — ''I haven't talked to you in a long time. Well, now I should leave.''
:Comment: used to start paragraphs in written text.",ni'o,paragraph break,starts a new topic,used to start paragraphs in written text,paragraph break,,,,,NIhO,yes,,text structuring,,,,discursive: paragraph break, introduce new topic,ni'o,"
'''ni'o''' <small>[paragraph break]</small> — starts a new topic
:'''i mi ze'u na tavla do ni'o ei mi ca cliva''' — ''I haven't talked to you in a long time. Well, now I should leave.''
:Comment: used to start paragraphs in written text.",ni'o,paragraph break,starts a new topic,used to start paragraphs in written text,paragraph break,,,,,NIhO,yes,,text structuring,,,,,,
no'i,"
'''no'i''' <small>[paragraph break]</small> — resumes the previous topic
:'''i do zenba lo ka certu tu'a la lojban no'i mi jinvi le du'u lo jufra pe do na mulno drani''' — ''You are becoming more and more proficient in Lojban. Back to the previous topic, I think your sentence wasn't fully correct.''",no'i,paragraph break,resumes the previous topic,,paragraph break,,,,,NIhO,yes,,text structuring,,,,discursive: paragraph break, resume previous topic,no'i,"
'''no'i''' <small>[paragraph break]</small> — resumes the previous topic
:'''i do zenba le ka certu tu'a la lojban no'i mi jinvi le mi'u du'u le jufra pe do na mulno drani''' — ''You are becoming more and more proficient in Lojban. Back to the previous topic, I think your sentence wasn't fully correct.''",no'i,paragraph break,resumes the previous topic,,paragraph break,,,,,NIhO,yes,,text structuring,,,,,,
noi,"
'''noi''' — turn clause into incidental relative clause
:'''i mi nelci pa ninmu noi mi ta'e zgana bu'u lo panka''' — ''I like a woman, whom I habitually see in the park.''
:'''i mi nelci pa ninmu''' — ''I like a woman.''
:'''i mi tavla do noi mi prami ke'a''' — ''I'm talking to you whom I love.''
:Comment: @@@who@@@, @@@which@@@. Starts relative clause that only adds additional information.",noi,,turn clause into incidental relative clause,"@@@who@@@, @@@which@@@. Starts relative clause that only adds additional information",from clause to relative clause,,,,ku'o,NOI,yes,converter,,,,,non-restrictive relative clause, attaches subordinate bridi with incidental information,noi,"
'''noi''' — turn clause into incidental relative clause
:'''i mi nelci pa ninmu noi mi ta'e zgana bu'u le panka''' — ''I like a woman, whom I habitually see in the park.''
:'''i mi nelci pa ninmu''' — ''I like a woman.''
:'''i mi tavla do noi mi prami ke'a''' — ''I'm talking to you whom I love.''
:Comment: @@@who@@@, @@@which@@@. Starts relative clause that only adds additional information.",noi,,turn clause into incidental relative clause,"@@@who@@@, @@@which@@@. Starts relative clause that only adds additional information",from clause to relative clause,,,,ku'o,NOI,yes,converter,,,,,,,
poi,"
'''poi''' — turn clause into relative clause
:'''i le nakni pu co'a speni pa ninmu poi pu se penmi bu'u lo zarci''' — ''He married a woman met in the store.''
:'''i le nakni pu co'a speni pa ninmu''' — ''He married a woman.''
:Comment: @@@that@@@. Starts restrictive relative clause. Removing the relative clause with {poi} changes the meaning of the sentence.",poi,,turn clause into relative clause,@@@that@@@. Starts restrictive relative clause. Removing the relative clause with {poi} changes the meaning of the sentence,from clause to relative clause,,,,ku'o,NOI,yes,converter,,,,,restrictive relative clause, attaches subordinate bridi with identifying information to a sumti,poi,"
'''poi''' — turn clause into relative clause
:'''i le mi'u nakni pu co'a speni pa ninmu poi pu se penmi bu'u le zarci''' — ''He married a woman met in the store.''
:'''i le mi'u nakni pu co'a speni pa ninmu''' — ''He married a woman.''
:Comment: @@@that@@@. Starts restrictive relative clause. Removing the relative clause with {poi} changes the meaning of the sentence.",poi,,turn clause into relative clause,@@@that@@@. Starts restrictive relative clause. Removing the relative clause with {poi} changes the meaning of the sentence,from clause to relative clause,,,,ku'o,NOI,yes,converter,,,,,,,
voi,"
'''voi''' — turn clause into relative clause of what is mentioned
:'''i lo ca vanci cu pluka i lo tai ditcu voi vanci na cafne''' — ''This evening is pleasant. Such time that is this evening doesn't happen often.''
:Comment: @@@what is mentioned as ...@@@. Starts relative clause describing what is known from context or already described.",voi,,turn clause into relative clause of what is mentioned,@@@what is mentioned as ...@@@. Starts relative clause describing what is known from context or already described,from clause to relative clause,,,,ku'o,NOI,yes,converter,speaker's viewpoint,,,,,voi,"
'''voi''' — turn clause into relative clause of what is mentioned
:'''i le ca vanci cu pluka i le tai ditcu voi vanci na cafne''' — ''This evening is pleasant. Such time that is this evening doesn't happen often.''
:Comment: @@@what is mentioned as ...@@@. Starts relative clause describing what is known from context or already described.",voi,,turn clause into relative clause of what is mentioned,@@@what is mentioned as ...@@@. Starts relative clause describing what is known from context or already described,from clause to relative clause,,,,ku'o,NOI,yes,converter,speaker's viewpoint,,,,,,,
du'u,"
'''du'u''' <small>[clause prefix]</small> — turn clause into verb
:'''i mi djuno le du'u do na fuzme''' — ''I know that you are not responsible.''
:Comment: x<sub>1 (entity)</sub> is the clause (that follows) expressed in sentence x<sub>2(text)</sub>.",du'u,clause prefix,turn clause into verb,x<sub>1 (entity)</sub> is the clause (that follows) expressed in sentence x<sub>2(text)</sub>,from clause to selbri,,,,,NU,yes,converter,,,,,abstractor: predication/bridi abstractor, x1 is predication [bridi] expressed in sentence x2,du'u,"
'''du'u''' <small>[clause prefix]</small> — turn clause into verb
:'''i mi djuno le mi'u du'u do na fuzme''' — ''I know that you are not responsible.''
:Comment: x<sub>1 (entity)</sub> is the clause (that follows) expressed in sentence x<sub>2(text)</sub>.",du'u,clause prefix,turn clause into verb,x<sub>1 (entity)</sub> is the clause (that follows) expressed in sentence x<sub>2(text)</sub>,from clause to selbri,,,,,NU,yes,converter,,,,,,,
se du'u,"
'''se du'u''' <small>[clause prefix]</small> — turn clause into quote
:'''i mi pu cusku fi la edvard fe lo se du'u lo karce pe mi cu spofu''' — ''I told Eduard that my car is broken.''
:Comment: x<sub>1(text)</sub> is the sentence expressing the clause x<sub>2 (clause)</sub>. Used for reported speech.",se du'u,clause prefix,turn clause into quote,x<sub>1(text)</sub> is the sentence expressing the clause x<sub>2 (clause)</sub>. Used for reported speech,from quote to clause,,,,,NU,yes,converter,,,,,abstractor: predication/bridi abstractor, x1 is predication [bridi] expressed in sentence x2,se du'u,"
'''se du'u''' <small>[clause prefix]</small> — turn clause into quote
:'''i mi pu cusku fi la edvard fe le se du'u le karce pe mi cu spofu''' — ''I told Eduard that my car is broken.''
:Comment: x<sub>1(text)</sub> is the sentence expressing the clause x<sub>2 (clause)</sub>. Used for reported speech.",se du'u,clause prefix,turn clause into quote,x<sub>1(text)</sub> is the sentence expressing the clause x<sub>2 (clause)</sub>. Used for reported speech,from quote to clause,,,,,NU,yes,converter,,,,,,,
,---,jei,clause prefix,turn clause into verb,x<sub>1 (entity)</sub> is the truth value of the clause (that follows) under epistemology x<sub>2 (proposition)</sub>,from clause to selbri,,,,,NU,,converter,,,,,abstractor: truth-value abstractor, x1 is truth value of [bridi] under epistemology x2,,---,jei,clause prefix,turn clause into verb,x<sub>1 (entity)</sub> is the truth value of the clause (that follows) under epistemology x<sub>2 (proposition)</sub>,from clause to selbri,,,,,NU,,converter,,,,,,,
